Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Imperial Seal,Double Masters 2022,1,FALSE,91.00,Mythic Rare,79,e71a6bd3-7478-4c3a-8ae0-98352ce28492,79,2x2,mythic
Inquisition of Kozilek,Double Masters 2022,1,FALSE,0.50,Uncommon,80,17f38740-20fd-4097-90f8-f0c2c2ff7281,80,2x2,uncommon
"Liliana, the Last Hope",Double Masters 2022,1,FALSE,3.99,Mythic Rare,81,f7ae5085-0d0d-4d7d-80a3-614315a07de5,81,2x2,mythic
Liliana's Elite,Double Masters 2022,1,FALSE,0.15,Common,82,a3da81fa-0bd1-4415-b112-3fa4438efe4b,82,2x2,common
Necrotic Ooze,Double Masters 2022,1,FALSE,1.70,Rare,83,acc3557d-49c6-49cd-a540-1b24897f4e86,83,2x2,rare
"Ob Nixilis, Unshackled",Double Masters 2022,1,FALSE,2.28,Rare,84,6c727f49-833a-4b79-9946-bfbc6b06999c,84,2x2,rare
Oona's Prowler,Double Masters 2022,1,FALSE,0.26,Rare,85,cd79780e-ddad-4ef4-a94d-ab191d118882,85,2x2,rare
Scion of Darkness,Double Masters 2022,1,FALSE,0.25,Uncommon,86,416845ec-7efd-464a-a0cb-7e9170ccdd38,86,2x2,uncommon
Seekers' Squire,Double Masters 2022,1,FALSE,0.15,Common,87,30573211-ba4d-41c7-a3cd-283aaf04dffb,87,2x2,common
Severed Strands,Double Masters 2022,1,FALSE,0.15,Common,88,a7496304-2ab2-497b-bb3a-b3c91ee1ff60,88,2x2,common
Shadowborn Apostle,Double Masters 2022,1,FALSE,1.99,Common,89,ae7ba1de-48f9-423b-867a-22bd3f6c06c2,89,2x2,common
Skeleton Archer,Double Masters 2022,1,FALSE,0.15,Common,90,bd8a04f1-9a7b-41d6-8447-4baa639fe183,90,2x2,common
Skinrender,Double Masters 2022,1,FALSE,0.24,Uncommon,91,ca107d96-0351-49a9-9f65-b055c1514d7b,91,2x2,uncommon
Strands of Undeath,Double Masters 2022,1,FALSE,0.15,Common,92,c95efd3d-ee88-4908-908a-830595f03c5d,92,2x2,common
Supernatural Stamina,Double Masters 2022,1,FALSE,0.20,Common,93,69a0278b-3198-4c8d-b20c-f42e8b1569f4,93,2x2,common
Surgical Extraction,Double Masters 2022,1,FALSE,2.50,Rare,94,e15d76ac-1c23-4503-8225-375ac2bf2fb6,94,2x2,rare
Unburial Rites,Double Masters 2022,1,FALSE,0.25,Uncommon,95,7023aa24-ef49-4973-8978-7d0d3af719d3,95,2x2,uncommon
Unearth,Double Masters 2022,1,FALSE,0.38,Common,96,b1f73271-b70f-40ae-be64-f8de7805923a,96,2x2,common
Vampire Sovereign,Double Masters 2022,1,FALSE,0.19,Common,97,6f7f0f05-fe4e-4827-bedf-a54352f95967,97,2x2,common
Vampiric Rites,Double Masters 2022,1,FALSE,0.25,Uncommon,98,df9947ed-de58-4172-91df-82a93584e6fe,98,2x2,uncommon
"Yahenni, Undying Partisan",Double Masters 2022,1,FALSE,0.61,Rare,99,da4f8f35-5860-4416-b7bb-9ba56540a28c,99,2x2,rare
Abbot of Keral Keep,Double Masters 2022,1,FALSE,0.25,Rare,100,cd94f624-9b35-4468-829f-106366f61c1a,100,2x2,rare
"Alesha, Who Smiles at Death",Double Masters 2022,1,FALSE,0.26,Rare,101,e5067fda-fbee-4e44-aba7-8ab2c0e396f7,101,2x2,rare
Anger of the Gods,Double Masters 2022,1,FALSE,0.60,Rare,102,f92088c2-74c2-4e63-8a54-83d39f9d6ad6,102,2x2,rare
Backdraft Hellkite,Double Masters 2022,1,FALSE,0.50,Rare,103,4fb3f1cb-7180-4c5f-8e04-58bb9bf45733,103,2x2,rare
Bedlam Reveler,Double Masters 2022,1,FALSE,0.30,Rare,104,e9333564-2792-470e-be73-61f2445e018f,104,2x2,rare
Chaos Warp,Double Masters 2022,1,FALSE,0.87,Rare,105,0c20d8d5-a54a-4d81-9211-e82a10abdde2,105,2x2,rare
Dark-Dweller Oracle,Double Masters 2022,1,FALSE,0.25,Common,106,bd35664f-b99d-46b6-988e-8f2814b0a854,106,2x2,common
Dockside Extortionist,Double Masters 2022,1,FALSE,18.23,Mythic Rare,107,9e2e3efb-75cb-430f-b9f4-cb58f3aeb91b,107,2x2,mythic
Dreamshaper Shaman,Double Masters 2022,1,FALSE,0.20,Uncommon,108,c11f5d27-37f3-430a-833c-84e249b5e744,108,2x2,uncommon
Fiery Fall,Double Masters 2022,1,FALSE,0.15,Common,109,1ed3229f-40ab-420d-a41a-57f1ff8ab7ad,109,2x2,common
Goblin Banneret,Double Masters 2022,1,FALSE,0.19,Uncommon,110,cf20cfd7-81f4-423c-a662-c4b6676edfdd,110,2x2,uncommon
Greater Gargadon,Double Masters 2022,1,FALSE,0.28,Rare,111,76bf6bf0-4821-41eb-bacc-32e9a2d47845,111,2x2,rare
Hero of the Games,Double Masters 2022,1,FALSE,0.14,Common,112,9abd74bb-01b8-4382-90d4-0ffc43e5295d,112,2x2,common
Hissing Iguanar,Double Masters 2022,1,FALSE,0.20,Common,113,2268cf4b-de6d-4447-86e8-f8298728a3bd,113,2x2,common
Kruin Striker,Double Masters 2022,1,FALSE,0.15,Common,114,24da0851-c349-4b2c-bedf-21e3c2d35922,114,2x2,common
Labyrinth Champion,Double Masters 2022,1,FALSE,0.18,Uncommon,115,7ee955ad-6eed-4d5a-bcda-94339f155555,115,2x2,uncommon
Lava Coil,Double Masters 2022,1,FALSE,0.15,Common,116,802c39df-4b92-4acc-92f9-bebd3d405471,116,2x2,common
Lightning Bolt,Double Masters 2022,1,FALSE,1.73,Uncommon,117,f29ba16f-c8fb-42fe-aabf-87089cb214a7,117,2x2,uncommon
Living Lightning,Double Masters 2022,1,FALSE,0.14,Common,118,0104b9b6-7727-45e9-931f-28f7facf8692,118,2x2,common
Monastery Swiftspear,Double Masters 2022,1,FALSE,0.48,Common,119,e8b9d59d-bac9-4092-901e-2b861c186868,119,2x2,common
Pirate's Pillage,Double Masters 2022,1,FALSE,0.43,Common,120,1097e866-9d24-43b6-bafb-b6da05b47a30,120,2x2,common
Purphoros's Emissary,Double Masters 2022,1,FALSE,0.14,Common,121,3dd318d3-3d84-4f3f-a48f-6a242474a4a2,121,2x2,common
Rift Bolt,Double Masters 2022,1,FALSE,0.25,Common,122,4ccd0ada-92b2-48f3-b5ae-96346fc138b6,122,2x2,common
Seasoned Pyromancer,Double Masters 2022,1,FALSE,3.68,Mythic Rare,123,1427f615-8430-426e-a669-f9fe12033ac4,123,2x2,mythic
Sparkmage's Gambit,Double Masters 2022,1,FALSE,0.14,Common,124,f10b4edf-5f0e-4edd-88f9-2e3e7d9cad0a,124,2x2,common
Staggershock,Double Masters 2022,1,FALSE,0.18,Uncommon,125,56976d52-053d-49e9-94c0-f21dc13029ac,125,2x2,uncommon
Storm Fleet Pyromancer,Double Masters 2022,1,FALSE,0.14,Common,126,189836c8-3ffb-4734-8d3e-6a21a28335be,126,2x2,common
Surreal Memoir,Double Masters 2022,1,FALSE,0.16,Uncommon,127,e6c10004-eaef-4b19-828f-a0f9bde82984,127,2x2,uncommon
Titan's Strength,Double Masters 2022,1,FALSE,0.20,Common,128,30f1bfbe-7cfd-4b11-be95-0df327a83c12,128,2x2,common
